event_id,mmsi,t_start,duration_h,classification,confidence,replayed_classification,replayed_confidence,label
3cd0d8d7-a0fb-43b3-855d-b630613a4c86,244050206,2026-08-28 21:53:57,34.6,coverage-unknown,,coverage-unknown,0.0,n
0adff2c0-16dc-49f3-add5-c35b8721ef5a,211895760,2026-08-28 22:12:53,24.2,coverage-unknown,,coverage-unknown,0.0,n
175c72ec-deb4-4acc-8771-756de7133c05,244105935,2026-08-27 20:49:31,51.3,coverage-unknown,,coverage-unknown,0.0,y
36565f11-b3c0-47c6-8913-19a6d78da5e9,235526000,2026-08-27 15:55:24,46.5,coverage-unknown,,coverage-likely,1.0,n
7313e95b-cfd9-4bb1-8692-1151ebd20473,211664810,2026-08-27 13:30:47,52.7,coverage-unknown,,coverage-unknown,0.0,n
8b01be3c-666e-43fc-bfa8-f1770e904839,244000542,2026-08-28 21:17:11,40.3,coverage-unknown,,unusual,0.84,y
fa107e0b-685e-4e4a-acc9-ec73c3649dc8,220435000,2026-08-27 14:06:12,48.1,coverage-unknown,,coverage-unknown,0.0,y
ccce641e-fd49-4d7f-8744-0cb5a7cb3650,219019354,2026-08-23 23:59:10,153.9,coverage-unknown,,coverage-unknown,0.0,y
52dfbf0a-4dc0-4102-976d-0a2df60e469e,218098000,2026-08-23 23:50:55,149.9,coverage-unknown,,coverage-likely,1.0,n
da490173-92fa-490c-9812-d57caf217b35,249962000,2026-08-27 20:47:28,52.4,coverage-unknown,,unusual,0.98,y
ef70dfef-8681-46df-ac85-835f0b43031d,212897000,2026-08-27 14:08:10,54.4,coverage-unknown,,coverage-likely,1.0,n
515f264b-439e-4fd9-828d-df9599fb3419,211474300,2026-08-27 09:06:43,75.3,coverage-unknown,,coverage-unknown,0.0,n
4c5fb692-4aa1-4e00-8d20-83f1cbac8698,255916066,2026-08-23 23:59:43,136.9,coverage-unknown,,coverage-unknown,0.0,n
26837f91-8c73-46f7-8207-2d64f10374b9,244670457,2026-08-28 13:03:27,27.8,coverage-unknown,,coverage-unknown,0.0,y
300e4260-8869-40a9-ae00-0d93e665a431,219136000,2026-08-22 00:51:13,181.9,coverage-unknown,,coverage-likely,0.76,n
20b1b0d9-76dc-4c63-bd97-d34c098a5386,355390000,2026-08-28 21:51:01,25.2,coverage-unknown,,coverage-likely,0.93,n
b704eaf4-cfef-4a8c-a6e0-d3d7b5f0b6eb,538009203,2026-08-27 07:26:30,62.7,coverage-unknown,,coverage-likely,0.86,n
6cc1ff94-4d3c-4297-966a-1e7a37d0aab6,211527950,2026-08-27 09:07:26,53.3,coverage-unknown,,unusual,1.0,y
4640078b-31bd-4d22-a305-a8e32f32241f,630001285,2026-08-28 20:10:42,25.4,coverage-unknown,,coverage-likely,0.93,n
866c9801-f68b-4cc7-92d5-f9e05231782d,235000170,2026-08-27 08:12:50,76.4,coverage-unknown,,coverage-likely,1.0,n
